238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
238,232,20,20
288,287,20,20
317,295,20,20
384,278,20,20
488,261,20,20
496,274,20,20
504,262,20,20
511,247,20,20
533,326,20,20
589,350,20,20
595,351,20,20
591,285,20,20
728,273,20,20
770,469,20,20
779,499,20,20
770,491,20,20
770,491,20,20
786,465,20,20
897,311,20,20
1090,262,20,20
1170,250,20,20
1171,249,20,20
1175,249,20,20
1175,249,20,20
1175,249,20,20
1175,249,20,20
